"brand","month","sku","product","quantity","channel"
"G2G","2026-02","G2G-31","GLAD2GLOW艾草淨膚泥膜棒25g","1368","POYA"
"G2G","2026-02","G2G-34","GLAD2GLOW藍莓潔面乳70ml","177","POYA"
"G2G","2026-02","G2G-35","GLAD2GLOW 377淨透煥采面霜30g","480","POYA"
"G2G","2026-02","G2G-38","GLAD2GLOW舒緩保濕凝露30g","165","POYA"
"G2G","2026-02","G2G-39","GLAD2GLOW 淨膚調理棉片30片","164","Watsons"
"G2G","2026-02","G2G-40","GLAD2GLOW舒緩保濕凝露55g","377","POYA"
"G2G","2026-02","G2G-42","GLAD2GLOW 櫻花卸妝水 300ml","2","Cosmed"
"G2G","2026-02","G2G-42","GLAD2GLOW櫻花卸妝水300ml","1089","POYA"
"G2G","2026-02","G2G-43","GLAD2GLOW 牛奶潔面乳 80g","5","Cosmed"
"G2G","2026-02","G2G-43","GLAD2GLOW牛奶潔面乳80g","6001","POYA"
"G2G","2026-02","G2G-45","GLAD2GLOW紅石榴淨化透亮泥膜棒25g","907","POYA"
"G2G","2026-02","G2G-51","GLAD2GLOW 視黃醇精華 17ml","1","Cosmed"
